"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","z","Type","Phot.","Spec.","Radio"
"SN2006cq","2006/05/29","17.3","IC 4239","13:24:25.10","+30:57:22.7,+30:57:22.72","0.0521626","Ia","9","2",""
"SN2006ct","2006/05/25","16.6","2MASX J12095669+4705461","12:09:57.03,12:09:56.851,12:09:57.12","+47:05:43.9,+47:05:44.31,+47:05:43.8,+47:05:43.91","0.03146,0.03145","Ia","9","2",""
"SN2007sm","2007/11/27","19.99","A212250+0025","21:22:50.57,21:22:50.64","+00:25:17.9,+00:25:17.893,+00:25:17.602,+00:25:17.90","0.072","Ia","9","1",""
"CSS121005:212556+122328","2012/10/05","","","21:25:55.86,21:25:55.92","+12:23:27.8,+12:23:27.6","0.04","Ia","9","1",""
"PTF10hdv","2010/05/14","17.5","","12:07:45.39,12:07:45.36,12:07:45.43","+41:29:27.8,+41:29:27.96,+41:29:28.7","0.0522","Ia","9","2",""
"PTF10nlg","2010/07/03","18.5","","16:50:34.524,16:50:34.56,16:50:34.55,17:19:50.18","+60:16:34.51,+60:16:34.68,+60:16:34.6,+28:41:57.5","0.05592","Ia","9","4",""
"SN2012ay","2012/02/24","","A094325-0653","09:43:25.71,09:43:25.68","-06:53:35.9,-06:53:35.92,-06:53:35.916","0.048","Ia","9","1",""
"SN2013av","2013/03/01","","A121932+3802","12:19:32.65,12:19:32.64,12:19:33","+38:02:25.9,+38:02:25.91,+38:02:25.8,+38:02:26","0.05","Ia","9","1",""
"SN2013cx","2013/05/21","17.7","A170416+4130","17:04:16.05,17:04:16.06","+41:30:37.6,+41:30:37.58,+41:30:37.4","0.036","Ia","9","1",""
"SN2013cy","2013/05/31","","MCG -04-52-18","22:10:34.21,22:10:34.32","-22:39:48.0,-22:39:47.99,-22:39:47.52","0.034","Ia","9","1",""
"OGLE-2015-SN-021","2015/01/15","19.1","","01:38:59.59","-69:03:46.1","0.08","Ia","9","1",""
