"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","z","Type","Phot.","Spec.","Radio"
"SN2003kd","2003/11/23","16.7","UGC 2468","03:00:45.80","+44:27:13.0,+44:27:13.00","0.0302","Ia","1","9",""
"SN2003kh","2003/11/27","17.5","UGC 11491","19:52:17.93","+58:58:52.5,+58:58:52.50","0.0334","Ia","1","3",""
"SN2003kz","2003/12/16","18.5","MCG +09-16-34","09:38:35.27","+52:17:53.2,+52:17:53.20","0.05,0.05","Ia","1","1",""
"SN2003lc","2003/12/26","16.9","UGC 934","01:23:25.82","+30:47:14.9,+30:47:14.89","0.035001","Ia","1","3",""
"SN2003ls","2003/12/22","16.5","APMUKS(BJ) B025836.01-110449.4","03:01:00.39,03:01:00.37","-10:53:04.5,-10:53:04.49,-10:53:32.0","0.0434","Ia","1","1",""
"SN2004bj","2004/04/22","18.3","MCG +01-34-13","13:16:18.03","+07:02:52.7,+07:02:52.69","0.050151","Ia","1","2",""
"SN2004bz","2004/06/02","18.2","MCG +02-56-25","22:15:01.05","+15:24:16.6,+15:24:16.60","0.03413","Ia","1","1",""
"SN2004ct","2004/06/22","17.5","MCG +05-37-17","15:43:45.75","+28:24:59.5,+28:24:59.51","0.033","Ia","1","2",""
"SN2004cv","2004/06/24","16.6","MCG +03-41-120","16:06:14.45","+18:24:54.0,+18:24:54.00","0.036749","Ia","1","1",""
"SN2004fg","2004/10/31","18.3","MCG +05-56-07","23:47:24.45","+28:23:22.4,+28:23:22.42","0.03013","Ia","1","1",""
"SN2004gl","2004/11/21","18.4","MCG +08-16-31","08:50:04.89","+49:14:43.8,+49:14:43.80","0.039301","Ia","1","1",""
"SN2004H","2004/01/17","17.6","IC 708","11:33:59.77","+49:03:46.5,+49:03:46.51","0.032,0.032","Ia","1","1",""
"SN2004Y","2004/02/12","18.5","2MASX J11432825+2140266","11:43:28.26","+21:40:30.3,+21:40:30.29","0.069201","Ia","1","1",""
"PTF09fox","2009/10/09","18.8","","23:20:47.800,23:20:47.76,23:20:47.79,23:20:48.01","+32:30:06.27,+32:30:06.12,+32:30:06.1,+32:30:08.6","0.0718","Ia","1","4",""
"PTF09foz","2009/10/09","18.8","","00:42:11.893,00:42:11.928,00:42:11.90,00:42:11.72","-09:52:54.65,-09:52:54.804,-09:52:54.8,-09:52:52.5","0.05432","Ia","1","4",""
"SN2005bd","2005/04/03","17.7","MCG +09-11-02","06:12:03.50","+51:52:03.3,+51:52:03.29","0.037,0.037","Ia","1","1",""
"SN2005bs","2005/04/19","17.5","A201014-5638","20:10:14.11","-56:38:43.6,-56:38:43.58","0.0552","Ia","1","1",""
"SN2005bv","2005/04/20","15.5","A142407+2617","14:24:07.44","+26:17:50.3,+26:17:50.32","0.036,0.036","Ia","1","2",""
"SN2005cg","2005/06/02","17.7","A211050+0012","21:10:50.42","+00:12:07.4,+00:12:07.42","0.0314","Ia","1","6",""
"SN2005do","2005/08/08","17.4","UGC 2495","03:02:00.42","+41:34:34.2,+41:34:34.21","0.03047","Ia","1","1",""
"SN2005ej","2005/09/23","17.4","CGCG 323-004","18:53:38.48","+66:13:59.3,+66:13:59.30","0.037873","Ia","1","6",""
"SN2005X","2005/01/24","17.7","A122400+0746","12:24:00.75","+07:46:38.9,+07:46:38.89","0.074502","Ia","1","1",""
"SN2006bm","2006/04/05","17.9","A111821+2812","11:18:21.41","+28:12:43.5,+28:12:43.49","0.03177","Ia","1","1",""
"SN2006da","2006/06/12","16.6","2MASX J23274876+1428315","23:27:48.57","+14:28:27.0,+14:28:27.01","0.041178","Ia","1","6",""
"SN2006dh","2006/06/21","16.3","UGC 8670","13:41:43.08","+40:52:36.8,+40:52:36.80","0.060222","Ia","1","1",""
"SN2006dv","2006/07/20","16.4","UGC 12461","23:15:53.06","+05:07:50.2,+05:07:50.20","0.03297","Ia","1","6",""
"SN2006es","2006/09/01","17","UGC 2828","03:42:24.48","+39:14:31.0,+39:14:30.98","0.041038","Ia","1","2",""
"SN2006R","2006/01/26","17.5","NGC 6142","16:23:20.82","+37:15:49.8,+37:15:49.79","0.034","Ia","1","1",""
"SN2006rz","2006/11/26","19.7","A034607+0023","03:46:06.78,03:46:06.768","+00:23:23.1,+00:23:22.9,+00:23:23.10","0.03089,0.03092","Ia","1","1",""
"SN2006su","2006/12/18","17.4","IC 3772","12:46:56.88","+36:32:01.8,+36:32:01.79","0.0468","Ia","1","2",""
"SN2007at","2007/03/18","17.8","ESO 580-G44","14:51:12.28","-21:23:31.2,-21:23:31.20","0.0542","Ia","1","2",""
"SN2007bk","2007/04/20","16.5","A152845+5852","15:28:45.58,15:28:45.6","+58:52:12.8,+58:52:12.72,+58:52:12.79","0.03214","Ia","1","1",""
"SN2007fc","2007/07/08","16.9","ESO 538-G8","23:57:33.89","-21:59:53.0,-21:59:53.02","0.033743","Ia","1","4",""
"SN2007ge","2007/07/19","17.4","MCG +08-01-13","23:57:31.42","+47:27:02.4,+47:27:02.41","0.044844","Ia","1","1",""
"SN2007ry","2007/12/08","17.9","2MASX J03254297+4114422","03:25:43.16","+41:14:41.6,+41:14:41.60","0.040001","Ia","1","1",""
"SN2007V","2007/02/12","16.4","LCRS B102433.3-030244","10:27:05.58","-03:18:05.1,-03:18:05.11","0.03,0.03,0.03","Ia","1","1",""
"SN2008bg","2008/03/05","17.9","A125111+2617","12:51:11.89","+26:17:40.2,+26:17:40.20","0.063,0.063","Ia","1","2",""
"SN2008bv","2008/04/19","18.3","UGC 4653","08:53:54.64","+35:08:57.5,+35:08:57.52","0.055865","Ia","1","1",""
"SN2008E","2008/01/04","18","A112536+5208","11:25:36.95","+52:08:25.9,+52:08:25.91","0.034","Ia","1","2",""
"SN2008eg","2008/07/20","16.2","UGC 1324","01:51:36.27","+19:06:16.9,+19:06:16.88","0.0337","Ia","1","2",""
"SN2008ek","2008/07/28","18.9","IC 1181","16:05:33.17","+17:35:33.2,+17:35:33.22","0.0331","Ia","1","2",""
"SN2008gh","2008/10/11","18.7","UGC 3957","07:40:56.55","+55:25:32.3,+55:25:32.30","0.03412","Ia","1","2",""
"SN2008hq","2008/11/22","18.8","UGC 3963","07:41:31.41","+51:41:17.4,+51:41:17.41","0.0653","Ia","1","1",""
"SN2008hr","2008/11/23","18.3","2MASX J09185174+1857294","09:18:52.44,09:18:52.42","+18:57:20.4,+18:57:20.81","0.075802","Ia","1","1",""
"SN2008hu","2008/12/01","18.3","ESO 561-G18","08:09:14.76","-18:39:13.1,-18:39:13.10","0.05056","Ia","1","5",""
"SN2008hz","2008/11/26","18.2","SKHV 220","00:43:18.62,00:43:18.65","+42:10:14.2,+42:10:14.20,+42:10:14.3","0.0731","Ia","1","1",""
"SN2008s3","2008/08/25","18.1","2MASX J23004648+0734590","23:00:46.490,23:00:47.49","+07:34:58.61,+07:34:42.0","0.04204","Ia","1","1",""
"SN2008s4","2008/08/25","18.6","IC 144","01:37:40.80","-13:18:43.7","0.04051","Ia","1","1",""
"SN2008s5","2008/09/09","18","","22:01:49.07","+13:03:19.1","0.03134","Ia-99aa","1","3",""
"SN2008s8","2008/09/20","18.1","","02:20:33.93","+04:27:16.8","0.04042","Ia","1","2",""
"SN2009av","2009/03/02","16.8","A142355+3511","14:23:55.82,14:23:55.92","+35:11:05.2,+35:11:05.28,+35:11:05.21","0.0555","Ia","1","1",""
"SN2009bf","2009/03/17","17.8","A120651+2657","12:06:51.67,12:06:51.6,12:06:51.66","+26:57:36.6,+26:57:36.72,+26:57:36.61,+26:57:36.7","0.046","Ia","1","1",""
"SN2009ly","2009/11/06","19","A004113-0909","00:41:12.70,00:41:12.91","-09:08:53.0,-09:09:00.4,-09:08:53.02","0.0529","Ia","1","1",""
"SNF20080623-001","2008/06/23","18.5","","18:11:39.94","+50:10:51.5","0.04517","Ia","1","2",""
"SNF20080723-012","2008/07/23","18.9","","16:16:03.26","+03:03:17.4","0.07454","Ia","1","3",""
"ASASSN-14hr","2014/09/25","16.5","2MASX J01504127-1431032","01:50:41.230,01:50:41.23,01:50:41.232","-14:31:04.75,-14:31:04.8","0.03362","Ia","1","1",""
"ASASSN-14ih","2014/09/19","16.6","PGC 69190","22:34:29.81,22:34:29.76","-24:39:52.4,-24:39:52.2","0.033466","Ia","1","1",""
"ASASSN-14ii","2014/09/22","16.6","2dFGRS S588Z294","22:16:40.78,22:16:40.8","-36:09:39.9,-36:09:39.96","0.0308","Ia","1","1",""
"ASASSN-14kq","2014/11/23","16.6","2MASX J23451480-2947009","23:45:15.51,23:45:15.6","-29:47:01.1,-29:47:00.96","0.0336","Ia","1","1",""
"ASASSN-14lt","2014/12/10","15.3","IC 299","03:11:02.540,03:11:02.54,03:11:02.544","-13:06:38.76,-13:06:38.8,-13:06:38.88","0.032046","Ia","1","2",""
"CSS130303:105206-133424","2013/03/03","","","10:52:06.06,10:52:06","-13:34:24.7,-13:34:23.88","0.08","Ia","1","1",""
"CSS130307:134411+030344","2013/03/07","","","13:44:10.80,13:44:10.79,13:44:10.8","+03:03:44.2,+03:03:44.244","0.08","Ia","1","1",""
"CSS130828:223849-251246","2013/08/28","18","","22:38:48.96","-25:12:46.2","0.074","Ia","1","1",""
"iPTF13adv","2013/04/03","19.8","","15:08:52.64","+01:08:43.1","0.073","Ia","1","2",""
"iPTF13agl","2013/04/04","18","","14:42:51.58","+08:45:29.0","0.03517","Ia","1","2",""
"iPTF13akl","2013/04/10","19.9","","15:09:35.58","+57:37:29.5","0.0772","Ia","1","2",""
"iPTF13dkj","2013/09/12","17.4","CGCG 454-001","23:08:50.77","+20:04:08.7","0.03","Ia","1","1",""
"iPTF13dwl","2013/10/28","20.4","","21:16:49.05","+12:00:50.8","0.08","Ia","1","1",""
"iPTF13dyu","2013/11/04","19.2","","03:09:26.96","+41:11:34.8","0.052","Ia","1","1",""
"iPTF14axt","2014/05/12","18.2","","16:15:41.37","+31:45:14.9","0.05827","Ia","1","1",""
"iPTF14axy","2014/05/12","18.7","","18:50:03.04","+59:16:11.2","0.07","Ia","1","1",""
"iPTF14azl","2014/05/18","18.3","","12:26:36.03","+10:50:44.8","0.0662","Ia","1","1",""
"iPTF14efr","2014/08/21","17.9","","22:01:50.78","+22:01:55.8","0.05","Ia","1","1",""
"iPTF14evz","2014/09/10","19.2","","20:46:10.03","+00:23:02.3","0.078","Ia","1","1",""
"iPTF14flt","2014/09/15","19.2","","00:57:19.79","+09:45:26.4","0.06","Ia","1","1",""
"iPTF14fyq","2014/09/22","18.6","","00:03:21.72","+43:41:10.6","0.065","Ia","1","1",""
"iPTF14gdr","2014/09/26","19.4","","00:27:58.35","-05:12:59.5","0.069","Ia","1","1",""
"iPTF14gjh","2014/10/04","21.4","","00:19:56.37","+36:45:21.5","0.042","Ia","1","1",""
"iPTF14gjm","2014/10/04","20.4","","02:07:51.02","+36:43:24.7","0.067","Ia","1","1",""
"iPTF14gmo","2014/10/10","18.2","PGC 2171875","02:21:18.32,02:21:18.35","+40:51:15.8,+40:51:15.9","0.066","Ia","1","1",""
"iPTF14hup","2014/11/18","18.5","","01:56:56.33","+41:22:31.5","0.08","Ia","1","1",""
"iPTF14ibo","2014/11/20","18.7","","23:04:59.31","+17:29:09.5","0.08","Ia","1","1",""
"iPTF14igk","2014/11/21","17.6","","13:09:15.17","+59:20:56.8","0.0447","Ia","1","1",""
"LSQ12bia","2012/03/19","18.3","","10:28:33.790,10:28:33.79","-10:34:41.52","0.053","Ia","1","1",""
"LSQ12bov","2012/03/31","19","","13:57:10.44","+16:17:07.8","0.063","Ia","1","1",""
"LSQ12brs","2012/04/06","17.7","","13:51:17.40","-11:55:25.3","0.065","Ia","1","1",""
"LSQ12brw","2012/04/07","17.5","","10:20:43.380,10:20:43.38","-04:33:20.88","0.04","Ia","1","1",""
"LSQ12brx","2012/04/07","17.6","","10:17:59.900,10:17:59.90","-05:36:10.80","0.054","Ia","1","1",""
"LSQ12bve","2012/04/15","18.8","","12:40:58.32","-05:21:49.0","0.08","Ia","1","1",""
"LSQ12bvl","2012/04/15","18.1","","14:13:00.65","-05:48:12.2","0.065","Ia","1","1",""
"LSQ12dle","2012/07/10","18.5","","01:40:44.23","-25:15:53.6","0.05","Ia","1","1",""
"LSQ12ecp","2012/07/30","18","","01:27:01.66","-17:21:55.8","0.077","Ia","1","1",""
"LSQ12ege","2012/07/15","20.5","","16:50:51.89","+02:52:27.8","0.08","Ia","1","7",""
"LSQ12hxn","2012/12/24","17.6","","09:24:40.15","+22:26:03.0","0.078","Ia","1","1",""
"LSQ13avk","2013/06/19","18.5","","22:55:19.31","-03:13:27.9","0.043","Ia","1","1",""
"LSQ13beu","2013/07/15","20.1","","00:08:23.14","-20:52:15.3","0.07","Ia","1","1",""
"LSQ13bgg","2013/07/25","17.8","","02:18:35.52","-25:45:19.5","0.036","Ia","1","1",""
"LSQ13bic","2013/07/28","18.9","","22:11:54.30","+03:29:39.0","0.07","Ia","1","1",""
"LSQ13bjs","2013/08/07","18.4","","22:09:25.31","-01:38:52.8","0.04","Ia","1","1",""
"LSQ13bll","2013/08/07","19.6","","21:06:36.94","-70:52:24.8","0.07","Ia","1","1",""
"LSQ13bpc","2013/08/12","18.6","","23:08:42.22","-38:07:17.1","0.053","Ia","1","1",""
"LSQ13cex","2013/09/10","19.5","","23:04:03.12","-14:58:42.4","0.08","Ia","1","1",""
"LSQ13cmf","2013/09/24","18.5","","22:15:03.64","+16:25:56.7","0.065","Ia","1","1",""
"LSQ13cnl","2013/09/29","18","","00:14:56.20","+30:33:28.1,-30:33:28.19","0.065","Ia","1","1",""
"LSQ13cve","2013/11/04","18.7","","03:58:20.20","-05:32:21.5","0.065","Ia","1","1",""
"LSQ13dbx","2013/11/16","18.6","","02:35:11.09","-33:17:00.5","0.08","Ia","1","1",""
"LSQ13dhj","2013/11/28","22.5","","02:12:34.51","-37:20:22.8","0.07","Ia","1","1",""
"LSQ13dig","2013/12/01","18.5","","10:48:30.55","-18:08:13.3","0.08","Ia","1","1",""
"LSQ13diw","2013/11/20","19.8","","04:25:00.39","-33:27:04.1","0.058","Ia","1","1",""
"LSQ13dkp","2013/12/06","20.4","","03:10:09.97","-36:37:44.9","0.07","Ia","1","1",""
"LSQ13doj","2013/12/17","19.1","","02:34:35.32","-29:06:56.3","0.062,0.063","Ia","1","1",""
"LSQ14act","2014/03/05","19.3","","15:59:44.65","-10:26:40.8","0.06","Ia","1","1",""
"LSQ14age","2014/03/08","20.1","","13:24:08.60","-13:26:25.9","0.06","Ia","1","1",""
"LSQ14ahc","2014/03/06","18.1","","13:43:48.16","-32:54:36.7","0.05","Ia","1","1",""
"LSQ14aym","2014/03/24","18.2","","12:58:45.70","-14:36:44.4","0.053","Ia","1","1",""
"LSQ14ayn","2014/03/24","20","","13:04:05.20","-13:29:22.0","0.08","Ia","1","1",""
"LSQ14azn","2014/03/26","19.3","","11:56:19.96","-19:17:27.3","0.08","Ia","1","1",""
"LSQ14azr","2014/03/29","20.7","","13:34:16.02","-01:37:22.5","0.08","Ia","1","1",""
"LSQ14ba","2014/01/03","20.5","","11:01:23.02","-15:37:10.3","0.07,0.08","Ia","1","1",""
"LSQ14baz","2014/03/28","21.1","MCG -02-36-15","12:39:18.80","-16:12:28.9","0.069","Ia","1","1",""
"LSQ14bcr","2014/04/02","20.3","","16:19:38.28","-03:07:50.5","0.07","Ia","1","1",""
"LSQ14bdg","2014/04/21","19.3","","19:52:59.51","-58:48:42.3","0.07","Ia","1","1",""
"LSQ14bip","2014/04/29","19.1","","11:56:10.79","+04:59:51.6","0.08","Ia","1","1",""
"LSQ14bjj","2014/05/01","18.1","","14:20:49.08","-05:15:02.1","0.08","Ia","1","1",""
"LSQ14bka","2014/05/04","20","","20:11:48.52","-48:14:10.7","0.07","Ia","1","1",""
"LSQ14drn","2014/07/24","18.5","","20:39:04.63","-61:10:27.0","0.075","Ia","1","1",""
"LSQ14dtr","2014/08/02","19.4","","03:19:52.03","-19:28:43.3","0.08","Ia","1","1",""
"LSQ14dus","2014/08/01","18.3","","22:03:44.68","-52:43:19.8","0.07","Ia","1","1",""
"LSQ14dxa","2014/07/24","19.2","","22:08:39.89","-56:09:24.9","0.041","Ia","1","1",""
"LSQ14dxb","2014/08/07","18.1","","20:40:20.08","-50:55:21.2","0.06","Ia","1","1",""
"LSQ14dxo","2014/08/08","20","","23:23:56.98","-17:48:46.0","0.08","Ia","1","1",""
"LSQ14ecb","2014/07/25","18.9","","21:53:41.32","-13:17:27.4","0.049","Ia","1","1",""
"LSQ14eef","2014/07/27","19.7","","21:23:33.46","-08:45:36.6","0.06","Ia","1","1",""
"LSQ14efn","2014/07/24","17.9","","20:26:35.43","-48:12:30.3","0.04","Ia","1","1",""
"LSQ14fep","2014/09/07","17.1","","03:02:24.99","-58:07:56.5","0.06","Ia","1","1",""
"LSQ14few","2014/09/07","18.7","","02:19:59.63","-55:32:50.2","0.06","Ia","1","1",""
"LSQ14fhd","2014/09/12","19.6","","23:53:31.54","-37:59:25.9","0.06","Ia","1","1",""
"LSQ14fml","2014/09/21","20.4","","22:17:09.71","+10:47:17.1","0.08","Ia","1","1",""
"LSQ14fnt","2014/09/04","19.4","","21:26:53.77","-11:45:21.3","0.08","Ia","1","1",""
"LSQ14fnx","2014/09/15","20.9","","21:53:57.55","-06:45:06.9","0.07","Ia","1","1",""
"LSQ14foj","2014/09/24","17.3","","00:26:34.66","-32:48:33.0","0.046","Ia","1","1",""
"LSQ14fom","2014/09/24","19.9","","21:59:49.72","-30:16:15.5","0.06","Ia","1","1",""
"LSQ14fvy","2014/10/11","19.2","","05:29:06.07","-35:11:38.2","0.057","Ia","1","1",""
"LSQ14gac","2014/10/23","22","","03:45:39.82","-32:07:04.5","0.072","Ib","1","1",""
"LSQ14gci","2014/11/09","18.4","PGC 416703","04:11:24.16","-54:42:16.7","0.07","Ia","1","1",""
"LSQ14gcj","2014/11/09","18.2","PGC 177821","04:45:08.61","-54:18:21.1","0.038","Ia","1","1",""
"LSQ14gde","2014/11/13","20.2","","01:00:42.49","-14:59:33.3","0.061","Ia","1","1",""
"LSQ14gfb","2014/11/15","21.2","","05:10:05.76","-36:18:43.5","0.05","Ia","1","1",""
"LSQ14gie","2014/12/02","19.2","","04:08:22.05","-09:54:10.6","0.07","Ia","1","1",""
"LSQ14gn","2014/01/16","18.3","","13:44:58.63","-34:16:56.2","0.051","Ia","1","1",""
"LSQ14gok","2014/12/24","19.5","","10:52:41.47","+04:09:22.8","0.04","Ia","1","1",""
"LSQ14hm","2014/01/20","18.2","","12:54:36.16","-29:16:32.6","0.06","Ia","1","1",""
"LSQ14hq","2014/01/20","18.8","","12:09:37.21","-20:13:40.9","0.078","Ia","1","1",""
"LSQ14ie","2014/01/22","19.6","","12:55:33.43","-32:56:40.4","0.08","Ia","1","1",""
"LSQ14ip","2014/01/23","19.9","","09:44:20.20","+04:35:52.5","0.061","Ia","1","1",""
"LSQ14ko","2014/01/28","20","","12:23:34.50","-22:21:12.6","0.07","Ia","1","1",""
"LSQ14kz","2014/01/28","19.5","","09:50:35.23","-13:17:47.9","0.07","Ia","1","1",""
"LSQ14mc","2014/01/29","19.2","","09:02:13.45","+17:03:37.1","0.057","Ia","1","1",""
"LSQ14tc","2014/02/14","20.5","","13:27:29.80","-30:33:31.3","0.05","Ia","1","1",""
"LSQ14xi","2014/02/17","20.5","","12:30:41.17","-13:46:21.9","0.05","Ia","1","1",""
"LSQ15bb","2014/12/24","21.5","","09:58:52.16","+01:01:11.4","0.08","Ia","1","1",""
"LSQ15y","2014/12/24","21.1","","11:38:46.60","-11:03:15.9","0.07","Ia","1","1",""
"MASTER OT J033640.80+355213.6","2014/10/19","18","","03:36:40.80,03:36:40.8","+35:52:13.6","0.05","Ia","1","1",""
"MASTER OT J160432.41+122840.7","2014/02/06","17.5","PGC 1410207","16:04:32.41","+12:28:40.7","0.0408","Ia","1","1",""
"MASTER OT J162412.26+091303.0","2014/08/13","16.6","CGCG 080-023","16:24:12.26","+09:13:03.0","0.04","Ia","1","1",""
"PS1-13eao","2013/11/17","20.8","ESO 418-G7","03:29:56.35","-28:46:17.7","0.038","Ia","1","1",""
"PSN J17214592+6949141","2014/05/08","17.3","PGC 2732472","17:21:45.92","+69:49:14.1","0.041","Ia","1","1",""
"PSN J22522345-2036537","2012/10/05","18.4","","22:52:23.45","-20:36:53.7","0.033145","Ia Pec","1","7",""
"PTF10htz","2010/04/03","20.5","CGCG 352-058","13:08:37.52","+79:47:13.2","0.0352","Ia","1","2",""
"PTF10qjl","2010/08/01","18.3","","16:39:59.28,16:39:59.23,16:39:59.33","+12:06:26.64,+12:06:26.6,+12:06:25.5","0.05746","Ia","1","3",""
"PTF11bnx","2011/03/23","19.2","","16:30:19.32,16:30:19.44","+21:05:07.3,+21:05:07.44","0.05508","Ia","1","1",""
"PTF11byi","2011/04/12","18.1","","12:21:45.15,12:21:45.12","+12:15:25.6,+12:15:25.56","0.0389","Ia","1","2",""
"PTF11cao","2011/04/12","17.9","","16:18:47.96,16:18:48","+25:11:16.5,+25:11:16.44","0.04","Ia","1","1",""
"PTF11ctn","2011/04/29","18.5","","14:06:53.37,14:06:53.28","+40:13:13.9,+40:13:13.8","0.079","Ia","1","1",""
"PTF11deg","2011/05/07","19","","14:15:50.12,14:15:50.16","+30:42:44.2,+30:42:44.28","0.063","Ia","1","1",""
"PTF11dva","2011/05/23","19.6","","12:56:50.48,12:56:50.4","+20:31:52.5,+20:31:52.32","0.06049","Ia","1","1",""
"PTF11dzm","2011/05/28","19.8","","13:18:03.69,13:18:03.6","+42:10:34.1,+42:10:33.96","0.04114","Ia","1","2",""
"PTF11ecn","2011/05/30","20.3","","16:55:47.59,16:55:47.52","+37:59:32.7,+37:59:32.64","0.062","Ia","1","2",""
"PTF11gjh","2011/06/25","20.1","","16:32:13.82,16:32:13.92","+38:39:20.3,+38:39:20.16","0.0393","Ia","1","1",""
"PTF11htb","2011/07/11","18.9","","21:55:37.06,21:55:37.01","+00:41:32.2,+00:41:29.4","0.0493,0.0493","Ia","1","1",""
"PTF11khk","2011/08/09","17.1","","17:02:58.05,17:02:58.08,17:02:58.03","+40:31:06.8,+40:31:06.96,+40:31:28.6","0.030991","Ia","1","1",""
"PTF11ksu","2011/08/25","20.6","","16:03:10.55,16:03:10.56","+22:41:24.6,+22:41:24.72","0.0696","Ia","1","1",""
"PTF11lih","2011/08/31","19.7","","23:10:58.83,23:10:58.8,23:10:58.93","+31:51:35.8,+31:51:35.64,+31:51:36.0","0.072","Ia","1","1",""
"PTF11lmz","2011/09/02","18.9","","16:41:50.00,16:41:49.92","+37:31:02.7,+37:31:02.64","0.0615","Ia","1","1",""
"PTF11mty","2011/09/23","19.8","","21:34:05.20,21:34:05.28,21:34:05.21","+10:25:24.6","0.077","Ia","1","1",""
"PTF11opu","2011/10/15","18.5","","22:07:50.03,22:07:49.92,22:07:50.02","+27:47:49.7,+27:47:49.56,+27:47:47.0","0.0655","Ia","1","2",""
"PTF11pfm","2011/10/24","20","","21:44:13.79,21:44:13.80","+00:56:34.1","0.0795,0.0797","Ia","1","1",""
"PTF11rpz","2011/12/29","19.8","","09:21:58.02,09:21:58.08","+51:02:25.5,+51:02:25.44","0.066","Ia","1","1",""
"PTF12awi","2012/02/21","17.6","","10:03:13.71,10:03:13.68","+01:53:43.4,+01:53:43.404","0.0455","Ia","1","1",""
"PTF12cjg","2012/03/31","18.8","","13:41:18.26,13:41:18.24","+55:27:07.9,+55:27:07.92","0.067","Ia","1","1",""
"PTF12dco","2012/04/18","18.5","","15:20:31.73,15:20:31.68","+59:11:44.6,+59:11:44.52","0.074564","Ia","1","1",""
"PTF12dhb","2012/04/20","17.1","","16:16:57.43,16:16:57.36","+49:41:50.5,+49:41:50.64","0.0565","Ia","1","2",""
"PTF12dhl","2012/04/21","18.4","","13:22:55.63,13:22:55.68","+52:14:00.5,+52:14:00.6","0.057","Ia","1","1",""
"PTF12dwm","2012/04/28","19","","13:18:17.76","+35:42:25.7,+35:42:25.56","0.0532","Ia","1","3",""
"PTF12dxm","2012/04/29","18.3","","13:53:26.48,13:53:26.4","+43:54:48.6","0.063","Ia","1","3",""
"PTF12fsd","2012/06/17","18.7","","14:47:38.27,14:47:38.16","+13:33:24.9,+13:33:24.84","0.069","Ia","1","1",""
"PTF12ggb","2012/06/29","18.5","","15:38:25.64,15:38:25.68","+31:32:08.8,+31:32:08.88","0.053","Ia","1","1",""
"PTF12gkn","2012/07/03","19.2","","15:25:39.83,15:25:39.84","+09:39:05.7,+09:39:05.688","0.077","Ia","1","1",""
"PTF12mj","2012/01/06","19.1","","10:25:44.15,10:25:44.16","+73:42:00.9,+73:42:00.72","0.069","Ia","1","1",""
"SMT J00570506-362623","2013/11/30","17.8","","00:57:05.06","-36:26:23.0","0.057","Ia","1","1",""
"SN2010ij","2010/09/15","15.9","PGC 68600","22:20:20.19,22:20:19.92,22:20:19.46","+17:03:22.2,+17:03:22.32,+17:03:25.2,+17:03:22.21","0.03441","Ia","1","1",""
"SN2011bg","2011/03/26","14.8","KUG 1153+256A","11:56:14.31,11:56:14.3,11:56:14.36,11:56:14.4,11:56:14.40","+25:21:11.9,+25:21:14,+25:21:11.92,+25:21:14.5,+25:21:14.4,+25:21:14.8,+25:21:11.8,+25:21:15.48","0.0323","Ia","1","1",""
"SN2011gj","2011/09/07","17.5","UGC 849","01:19:24.15,01:19:24.14","+12:26:17.1,+12:26:17.09","0.0476","Ia","1","1",""
"SN2011ie","2011/11/17","17","A230054+1850","23:00:54.71,23:00:54.70","+18:50:32.3,+18:50:32.32,+18:50:32.2","0.031","Ia","1","1",""
"SN2012dd","2012/06/05","16.9","PGC 32926","10:57:16.46","+28:32:21.7,+28:32:21.70","0.0457","Ia","1","1",""
"SN2012df","2012/06/27","18.2","A174818+5218","17:48:18.75","+52:18:02.3,+52:18:02.30","0.07","Ia","1","1",""
"SN2012dg","2012/06/26","16.7","CGCG 254-030","18:18:18.80","+47:41:54.2,+47:41:54.20","0.037","Ia","1","1",""
"SN2012ds","2012/07/16","16.4","PGC 58009","16:23:45.92","+09:47:12.3,+09:47:12.30","0.034","Ia","1","1",""
"SN2012E","2012/01/14","15.8","NGC 975","02:33:22.79","+09:35:05.6,+09:35:05.60","0.03,0.02","Ia","1","1",""
"SN2012er","2012/08/21","14.8","MCG +12-16-42","17:31:52.66,17:31:52.62","+71:50:12.0,+71:50:10.2,+71:50:12.01","0.039694","Ia","1","1",""
"SN2012fk","2012/10/20","16.7","PGC 9572","02:30:52.04","+22:28:45.9,+22:28:45.91","0.035","Ia","1","1",""
"SN2012ge","2012/10/25","16.5","PGC 3087098","13:14:47.05","+54:05:05.5,+54:05:05.50","0.03316","Ia","1","1",""
"SN2012hh","2012/11/22","16.6","UGC 2180","02:42:39.57,02:42:39.62","+39:31:54.7,+39:31:55.49,+39:31:55.5","0.031188","Ia","1","1",""
"SN2012hl","2012/12/04","16.8","SDSS J005017.67+243154.4","00:50:17.76,00:50:17.8","+24:31:52.2,+24:31:52,+24:31:52.21,+24:31:52.32","0.033","Ia","1","1",""
"SN2012ie","2012/12/23","18","A022422+4051","02:24:22.35","+40:51:03.2,+40:51:03.20","0.048","Ia","1","1",""
"SN2012if","2012/12/20","18.3","PGC 34479","11:17:30.29","+51:24:07.4,+51:24:07.42","0.033338","Ia","1","1",""
"SN2012M","2012/01/20","17","MCG +04-35-18","14:56:59.85","+24:35:59.5,+24:35:59.50","0.0335","Ia","1","1",""
"SN2012N","2012/01/21","16.5","UGC 9396","14:35:44.63","+24:43:41.5,+24:43:41.48","0.034,0.036","Ia","1","1",""
"SN2013ar","2013/03/14","17.5","A083746+4928","08:37:45.02","+49:28:32.2,+49:28:32.20","0.06","Ia","1","1",""
